building_location,building_price_hkd_mean
Tsing Yung Terrace,738.53125
Hampton Place,734.6153846153846
Jupiter Terrace,729.9166666666666
Grand Waterfront,729.5064935064935
High One Grand,729.3061224489796
The Grandiose,727.3298245614035
Mount Haven,726.4536082474227
Coastal Skyline,724.7096153846154
Li Chit Garden,722.8636363636364
Manlai Court,721.7674418604652
The Grandeur,719.2857142857143
Aqua Blue,718.9069767441861
The Woodsville,718.4736842105264
Manrich Court,713.75
Classical Gardens,711.6567164179105
Laguna City,709.2677925211098
Casa De Oro,707.7619047619048
Fortress Metro Tower,703.2093023255813
Genius Court,703.1666666666666
Marbella,697.6714285714286
La Costa,694.2079207920792
Yoho Town,692.5130331753554
The Waterside,691.974025974026
Bayview Garden,691.3457943925233
Tung Chung Crescent,690.4090909090909
Anglers' Bay,689.71875
Nob Hill,688.8854166666666
Ocean View,684.8014705882352
The Forest Hills,682.8928571428571
Heya Delight,681.04
Peridot Court,679.7380952380952
Park Central,679.7295774647887
Primrose Hill,679.5703703703704
Oscar By The Sea,676.6934306569343
Grand Fortune Mansion,676.5
Seaview Crescent,672.8229665071771
Heya Crystal,671.7412398921833
New Haven,671.5581395348837
Belair Gardens,670.3054187192118
Caribbean Coast,665.171821305842
The Rise,665.123595505618
Recours La Serre,664.25
Scenic View,662.927927927928
Oi Kwan Court,662.6666666666666
Bedford Gardens,662.375
High Point,659.5
Green Code,658.3366834170854
Tung Yuk Court,658.0454545454545
Beacon Lodge,657.3684210526316
Hanley Villa,656.0
View Villa,655.8571428571429
The Panorama,655.7692307692307
Emerald Green,654.1735537190083
Tseung Kwan O Plaza,653.6931506849315
Canaryside,653.6363636363636
Kornhill (Ho),653.4692307692308
Chelsea Court,650.9741176470588
ResidenceA88,650.1623931623932
Cathay Lodge,648.8947368421053
Maritime Bay,645.4069767441861
I-Uniq Residence,645.2592592592592
The Oakridge,644.8571428571429
Parkside Villa,644.1555555555556
Scenic Horizon,642.4285714285714
Perfect Mount Gardens,642.2361111111111
Kingsgate,640.75
Causeway Centre,639.9736842105264
Bel Air Heights,639.2222222222222
Mont Vert,638.9608695652174
Discovery Park,637.6062639821029
Pearl City Mansion,636.4677419354839
Palm Cove,635.4054054054054
The Notting Hill,635.2222222222222
Park Ivy,632.8285714285714
East Point City,632.4188679245283
Chi Fu Fa Yuen,631.6157517899761
Ravana Garden,630.8
Park Island,630.4499473129611
Nan Fung Plaza,630.3390804597701
Serenade Cove,629.9661016949152
Cascades,626.8688524590164
The Beaumount,626.0560616678346
New Jade Gardens,625.3228346456693
Aegean Coast,624.8097165991903
Park Signature,624.4804928131417
Belvedere Garden,624.1078767123288
Nan Fung Sun Chuen,622.9904153354632
Telford Gardens,621.3622559652929
Bedford 28,619.6923076923077
Sun Yuen Long Centre,618.900826446281
Scenery Garden,617.8823529411765
Metro City,617.0347222222222
I-Home,613.75
Noble Hill,613.5
Mountain Shore,612.984
Uptown Plaza,611.6870229007634
Lime Stardom,611.1308411214953
Healthy Gardens,611.0591715976332
Luckifast Building,606.3636363636364
The Pinnacle,605.1818181818181
Metro Harbour View,605.1704347826087
One Regent Place,604.433962264151
Grand Del Sol,603.623076923077
Bayshore Towers,602.205298013245
Wah Yuen Chuen,600.90625
Dragon Inn Court,600.7727272727273
Southern Lodge,599.8
Parkes Residence,599.76
Hang King Garden,599.4666666666667
Marina Cove,599.2857142857143
Greenpark Villa,598.8070175438596
Kwai Chung Plaza,596.7592592592592
Full Wealth Gardens,595.6974789915967
High Place,594.918918918919
Fiori,593.5555555555555
Westlands Court,593.448275862069
Aberdeen Centre,590.4516129032259
Fortune Court,590.4166666666666
Neptune Terrace,588.2962962962963
Jubilee Garden,584.0886850152905
La Cite Noble,581.8396226415094
Park Belvedere,580.2307692307693
La Maison Du Nord,579.0769230769231
8 Royal Green,578.5753424657535
Broadview Garden,578.1621621621622
Yue Man Centre,577.3725490196078
Prima Villa,577.0373134328358
Serenity Place,576.7212389380531
Chun Man Court,575.8028169014085
Sunshine City,574.1805359661495
Ma On Shan Centre,574.132911392405
Green Orchid,573.0
Greenwood Terrace (Cw),572.1172413793104
Ka Keng Court,571.7368421052631
Summit Terrace,571.3350785340314
Luk Yeung Sun Chuen,570.5424657534246
Villa Pinada,570.2727272727273
Lok Sing Centre,570.0
Highland Park,569.1700680272108
Vianni Cove,569.1464968152866
Oceania Heights,566.4666666666667
Grand Horizon,565.1838565022422
Park Summit,564.776397515528
Nerine Cove,563.2920792079208
Hongkong Garden,563.0842105263158
Park Royale,561.8867924528302
The Reach,561.3295154185022
Waterside Plaza,560.8620689655172
Chelsea Heights,560.2413793103449
Ocean Court,559.8
Greenview Court,559.081081081081
Kin Lee Building,557.3125
Lockhart House,556.8163265306123
Handsome Court,555.48
The Apex,555.3762886597938
La Grove,554.3481012658228
Brilliant Court,553.0277777777778
Kai Tak Garden,552.95
Sevilla Crest,552.3461538461538
Lei On Court,552.0322580645161
Indihome,551.8577586206897
Rambler Crest,551.7901639344262
Riviera Gardens,550.9794303797469
Grandway Garden,549.3620689655172
Uptown,547.1776649746192
Charming Garden,546.5047169811321
Connaught Garden,546.065934065934
Yue Shing Court,544.6052631578947
Gardenia,543.7721518987341
Aldrich Garden,542.0275862068966
Hong Kong Gold Coast,540.2222222222222
Broadview Court,539.9166666666666
Horizon Place,539.4230769230769
Wing Fai Garden,538.4705882352941
Rhine Garden,538.3975155279503
Greenfields,536.7647058823529
Merit Place,534.0
Greenview Villa,534.0
Kingsford Terrace,533.7954545454545
Hibiscus Park,533.125
Park Nara,531.96875
Yu Chui Court,531.7984496124031
Villa Premiere,531.6041666666666
Ying King Mansion,531.375
The Parcville,530.1292517006802
Crystal Park,529.078947368421
Cheerful Park,528.0816326530612
Fok On Garden,528.0232558139535
Yee Hong Building,528.0
Greenery Place,527.1746031746031
Yue On Court,526.0583333333333
Well On Garden,525.1467889908257
Sea Crest Villa,524.410752688172
Villa Sapphire,523.5294117647059
Fair Way Garden,522.94
South Hillcrest,522.7555555555556
Hilltop Gardens,521.7647058823529
H Cube,521.4172185430464
Lido Garden,520.3296703296703
San Po Kong Plaza,520.2075471698113
Ka Wai Chuen,519.9375
Whampoa Estate,518.214705882353
Scenic Gardens,517.94
One New York,517.875
Bijou Apartments,513.6818181818181
New Kwai Fong Gardens,513.54802259887
The Avery,510.6190476190476
Riviera Lodge,508.95454545454544
Well-Found Building,508.57142857142856
The Seacrest,508.25396825396825
Seaview Garden,508.21238938053096
Serene Garden,507.84615384615387
Villa Tiara,507.84
Belair Monte,507.6417112299465
Royal Green,507.36407766990294
Lagoon Court,506.3333333333333
Pierhead Garden,505.9438202247191
Holford Gardens,505.94029850746267
Shaukeiwan Plaza,505.390243902439
Metropolis Plaza,504.8709677419355
Serenity Park,503.3472584856397
Marina Garden,503.33098591549293
Lung Yan Court,503.3076923076923
One Victory,503.25
Regentville,502.3622047244094
Finery Park,501.7323943661972
City One Shatin,501.5962107756069
Ka Lung Court,500.7647058823529
Central Park Towers,500.561919504644
Fu Fai Garden,500.1333333333333
Yue Tin Court,500.0173913043478
Shatin New Town (Lucky Plaza),499.4633204633205
On Ning Garden,498.72727272727275
Tsing Yi Garden,497.34466019417476
Melody Garden,495.8688524590164
High One,493.67
Maison Rose,493.4375
Greenfield Garden,493.32974137931035
Amoy Gardens,493.1691729323308
Napa Valley,492.06666666666666
Kam On Court,491.8135593220339
Wah To Building,490.85185185185185
Hilton Plaza,489.13690476190476
Ching Wang Court,487.6363636363636
Hong Yat Court,487.5064935064935
Dawning Views,487.4708097928437
Beneville,487.46385542168673
Springdale Villas,487.10714285714283
Plover Cove Garden,487.0769230769231
112 Johnston Road,486.10526315789474
Bakerview,485.0
Miami Beach Towers,484.8140703517588
Tsuen King Garden,484.2016129032258
Kam Tai Court,483.88125
Lung Poon Court,482.5168918918919
Hong Pak Court,481.12587412587413
Carado Garden,480.7117117117117
Jc Place,480.0
South Wave Court,479.79545454545456
Sereno Verde,478.94848484848484
Smithfield Terrace,476.2816091954023
Yu Ming Court,475.7164179104478
Tung Kai Building,474.0
Yan Ming Court,473.93506493506493
Grand Regentville,473.4823529411765
Bauhinia Garden,472.60663507109007
Yin Lai Court,472.48275862068965
Villa By The Park,472.4109589041096
Meadowlands,472.12
Imperial Villas,471.73770491803276
Wai Wah Centre,471.7263157894737
City 18,471.6190476190476
Shatin Centre,471.47955390334573
Hoi Hing Building,470.5
Opulence Height,469.5357142857143
Hanford Garden,467.251572327044
Ka Tin Court,467.0373831775701
Treasure Garden,466.271186440678
Ying Ming Court,466.1968503937008
Rhine Terrace,465.96666666666664
Wyler Gardens,465.5700934579439
Ting Nga Court,465.1578947368421
The Lodge,465.0
